category,sample_count,sample_ratio,split
why_verify_identity,113,0.012351076620395671,train
edit_personal_details,113,0.012351076620395671,train
exchange_charge,113,0.012351076620395671,train
disposable_card_limits,113,0.012351076620395671,train
lost_or_stolen_phone,113,0.012351076620395671,train
order_physical_card,112,0.01224177505738332,train
change_pin,112,0.01224177505738332,train
exchange_via_app,111,0.012132473494370969,train
top_up_by_cash_or_cheque,108,0.011804568805333916,train
top_up_by_card_charge,108,0.011804568805333916,train
verify_source_of_funds,107,0.011695267242321564,train
pin_blocked,107,0.011695267242321564,train
transfer_into_account,107,0.011695267242321564,train
top_up_by_bank_transfer_charge,106,0.011585965679309215,train
exchange_rate,106,0.011585965679309215,train
card_not_working,106,0.011585965679309215,train
card_delivery_estimate,106,0.011585965679309215,train
age_limit,105,0.011476664116296864,train
terminate_account,104,0.011367362553284513,train
get_physical_card,102,0.01114875942725981,train
passcode_forgotten,101,0.011039457864247459,train
verify_my_identity,101,0.011039457864247459,train
topping_up_by_card,100,0.010930156301235108,train
unable_to_verify_identity,99,0.010820854738222757,train
getting_virtual_card,97,0.010602251612198054,train
top_up_limits,96,0.010492950049185703,train
get_disposable_virtual_card,96,0.010492950049185703,train
receiving_money,94,0.010274346923161001,train
compromised_card,88,0.009618537545086894,train
atm_support,87,0.009509235982074545,train
lost_or_stolen_card,85,0.009290632856049842,train
card_swallowed,71,0.007760410973876927,train
card_acceptance,68,0.007432506284839873,train
virtual_card_not_working,57,0.006230189091704011,train
contactless_not_working,53,0.0057929828396546075,train
card_payment_fee_charged,34,0.017338092809790925,validation
balance_not_updated_after_cheque_or_cash_deposit,33,0.016828148903620603,validation
direct_debit_payment_not_recognised,33,0.016828148903620603,validation
cash_withdrawal_charge,33,0.016828148903620603,validation
wrong_amount_of_cash_received,33,0.016828148903620603,validation
declined_cash_withdrawal,32,0.01631820499745028,validation
transfer_fee_charged,32,0.01631820499745028,validation
transaction_charged_twice,32,0.01631820499745028,validation
balance_not_updated_after_bank_transfer,31,0.01580826109127996,validation
card_payment_wrong_exchange_rate,31,0.01580826109127996,validation
Refund_not_showing_up,31,0.01580826109127996,validation
request_refund,31,0.01580826109127996,validation
extra_charge_on_statement,31,0.01580826109127996,validation
transfer_not_received_by_recipient,31,0.01580826109127996,validation
card_payment_not_recognised,31,0.01580826109127996,validation
cash_withdrawal_not_recognised,30,0.015298317185109638,validation
activate_my_card,30,0.015298317185109638,validation
pending_card_payment,30,0.015298317185109638,validation
reverted_card_payment?,30,0.015298317185109638,validation
cancel_transfer,30,0.015298317185109638,validation
wrong_exchange_rate_for_cash_withdrawal,30,0.015298317185109638,validation
declined_card_payment,29,0.014788373278939317,validation
card_arrival,29,0.014788373278939317,validation
beneficiary_not_allowed,29,0.014788373278939317,validation
pending_cash_withdrawal,28,0.014278429372768995,validation
top_up_reverted,28,0.014278429372768995,validation
top_up_failed,28,0.014278429372768995,validation
pending_top_up,28,0.014278429372768995,validation
pending_transfer,28,0.014278429372768995,validation
failed_transfer,27,0.013768485466598673,validation
visa_or_mastercard,27,0.013768485466598673,validation
card_linking,27,0.013768485466598673,validation
card_about_to_expire,26,0.013258541560428353,validation
declined_transfer,26,0.013258541560428353,validation
getting_spare_card,25,0.012748597654258032,validation
supported_cards_and_currencies,25,0.012748597654258032,validation
apple_pay_or_google_pay,25,0.012748597654258032,validation
automatic_top_up,25,0.012748597654258032,validation
verify_top_up,25,0.012748597654258032,validation
fiat_currency_support,25,0.012748597654258032,validation
country_support,25,0.012748597654258032,validation
transfer_timing,25,0.012748597654258032,validation
disposable_card_limits,24,0.01223865374808771,validation
change_pin,24,0.01223865374808771,validation
why_verify_identity,24,0.01223865374808771,validation
exchange_via_app,24,0.01223865374808771,validation
lost_or_stolen_phone,24,0.01223865374808771,validation
exchange_charge,24,0.01223865374808771,validation
order_physical_card,24,0.01223865374808771,validation
edit_personal_details,24,0.01223865374808771,validation
exchange_rate,23,0.011728709841917389,validation
top_up_by_bank_transfer_charge,23,0.011728709841917389,validation
top_up_by_card_charge,23,0.011728709841917389,validation
verify_source_of_funds,23,0.011728709841917389,validation
top_up_by_cash_or_cheque,23,0.011728709841917389,validation
transfer_into_account,23,0.011728709841917389,validation
pin_blocked,23,0.011728709841917389,validation
card_delivery_estimate,23,0.011728709841917389,validation
age_limit,23,0.011728709841917389,validation
terminate_account,22,0.011218765935747067,validation
card_not_working,22,0.011218765935747067,validation
verify_my_identity,22,0.011218765935747067,validation
get_physical_card,22,0.011218765935747067,validation
passcode_forgotten,22,0.011218765935747067,validation
getting_virtual_card,21,0.010708822029576747,validation
top_up_limits,21,0.010708822029576747,validation
get_disposable_virtual_card,21,0.010708822029576747,validation
topping_up_by_card,21,0.010708822029576747,validation
unable_to_verify_identity,21,0.010708822029576747,validation
receiving_money,20,0.010198878123406425,validation
lost_or_stolen_card,19,0.009688934217236104,validation
compromised_card,19,0.009688934217236104,validation
atm_support,18,0.009178990311065782,validation
card_swallowed,15,0.007649158592554819,validation
card_acceptance,14,0.0071392146863844975,validation
virtual_card_not_working,12,0.006119326874043855,validation
contactless_not_working,11,0.0056093829678735335,validation
card_payment_fee_charged,34,0.017338092809790925,test
direct_debit_payment_not_recognised,34,0.017338092809790925,test
wrong_amount_of_cash_received,33,0.016828148903620603,test
balance_not_updated_after_cheque_or_cash_deposit,33,0.016828148903620603,test
transaction_charged_twice,33,0.016828148903620603,test
transfer_not_received_by_recipient,32,0.01631820499745028,test
cash_withdrawal_charge,32,0.01631820499745028,test
request_refund,32,0.01631820499745028,test
balance_not_updated_after_bank_transfer,32,0.01631820499745028,test
declined_cash_withdrawal,32,0.01631820499745028,test
transfer_fee_charged,32,0.01631820499745028,test
card_payment_wrong_exchange_rate,31,0.01580826109127996,test
extra_charge_on_statement,31,0.01580826109127996,test
wrong_exchange_rate_for_cash_withdrawal,31,0.01580826109127996,test
card_payment_not_recognised,31,0.01580826109127996,test
reverted_card_payment?,30,0.015298317185109638,test
Refund_not_showing_up,30,0.015298317185109638,test
activate_my_card,30,0.015298317185109638,test
beneficiary_not_allowed,30,0.015298317185109638,test
pending_card_payment,30,0.015298317185109638,test
cash_withdrawal_not_recognised,30,0.015298317185109638,test
cancel_transfer,29,0.014788373278939317,test
pending_top_up,29,0.014788373278939317,test
declined_card_payment,29,0.014788373278939317,test
card_arrival,29,0.014788373278939317,test
pending_transfer,28,0.014278429372768995,test
top_up_reverted,28,0.014278429372768995,test
top_up_failed,28,0.014278429372768995,test
card_linking,27,0.013768485466598673,test
pending_cash_withdrawal,27,0.013768485466598673,test
declined_transfer,26,0.013258541560428353,test
visa_or_mastercard,26,0.013258541560428353,test
supported_cards_and_currencies,26,0.013258541560428353,test
getting_spare_card,26,0.013258541560428353,test
failed_transfer,26,0.013258541560428353,test
card_about_to_expire,25,0.012748597654258032,test
automatic_top_up,25,0.012748597654258032,test
fiat_currency_support,25,0.012748597654258032,test
apple_pay_or_google_pay,25,0.012748597654258032,test
verify_top_up,25,0.012748597654258032,test
country_support,25,0.012748597654258032,test
transfer_timing,25,0.012748597654258032,test
why_verify_identity,24,0.01223865374808771,test
order_physical_card,24,0.01223865374808771,test
change_pin,24,0.01223865374808771,test
edit_personal_details,24,0.01223865374808771,test
lost_or_stolen_phone,24,0.01223865374808771,test
exchange_charge,24,0.01223865374808771,test
disposable_card_limits,24,0.01223865374808771,test
exchange_via_app,23,0.011728709841917389,test
exchange_rate,23,0.011728709841917389,test
pin_blocked,23,0.011728709841917389,test
top_up_by_card_charge,23,0.011728709841917389,test
top_up_by_cash_or_cheque,23,0.011728709841917389,test
card_delivery_estimate,23,0.011728709841917389,test
card_not_working,23,0.011728709841917389,test
transfer_into_account,23,0.011728709841917389,test
verify_source_of_funds,23,0.011728709841917389,test
topping_up_by_card,22,0.011218765935747067,test
passcode_forgotten,22,0.011218765935747067,test
terminate_account,22,0.011218765935747067,test
unable_to_verify_identity,22,0.011218765935747067,test
top_up_by_bank_transfer_charge,22,0.011218765935747067,test
get_physical_card,22,0.011218765935747067,test
age_limit,22,0.011218765935747067,test
verify_my_identity,21,0.010708822029576747,test
receiving_money,21,0.010708822029576747,test
get_disposable_virtual_card,20,0.010198878123406425,test
getting_virtual_card,20,0.010198878123406425,test
top_up_limits,20,0.010198878123406425,test
atm_support,19,0.009688934217236104,test
lost_or_stolen_card,18,0.009178990311065782,test
compromised_card,18,0.009178990311065782,test
card_swallowed,15,0.007649158592554819,test
card_acceptance,15,0.007649158592554819,test
virtual_card_not_working,12,0.006119326874043855,test
contactless_not_working,11,0.0056093829678735335,test
