,precision,recall,f1-score,support
top_up_by_cash_or_cheque,0.9130434782608695,0.9130434782608695,0.9130434782608695,23.0
top_up_failed,0.8620689655172413,0.8928571428571429,0.8771929824561403,28.0
top_up_limits,0.9130434782608695,1.0,0.9545454545454546,21.0
top_up_reverted,0.8064516129032258,0.8928571428571429,0.847457627118644,28.0
topping_up_by_card,0.9444444444444444,0.8095238095238095,0.8717948717948718,21.0
transaction_charged_twice,0.96875,0.96875,0.96875,32.0
transfer_fee_charged,0.8888888888888888,0.75,0.8135593220338984,32.0
transfer_into_account,0.8,0.8695652173913043,0.8333333333333334,23.0
transfer_not_received_by_recipient,0.8620689655172413,0.8064516129032258,0.8333333333333334,31.0
transfer_timing,0.8260869565217391,0.76,0.7916666666666666,25.0
unable_to_verify_identity,0.85,0.8095238095238095,0.8292682926829268,21.0
verify_my_identity,0.875,0.9545454545454546,0.9130434782608695,22.0
verify_source_of_funds,0.8,0.8695652173913043,0.8333333333333334,23.0
verify_top_up,1.0,1.0,1.0,25.0
virtual_card_not_working,0.7,0.5833333333333334,0.6363636363636364,12.0
visa_or_mastercard,1.0,0.9259259259259259,0.9615384615384616,27.0
why_verify_identity,0.84,0.875,0.8571428571428571,24.0
wrong_amount_of_cash_received,0.9032258064516129,0.8484848484848485,0.875,33.0
wrong_exchange_rate_for_cash_withdrawal,0.9615384615384616,0.8333333333333334,0.8928571428571429,30.0
accuracy,0.8903620601733809,0.8903620601733809,0.8903620601733809,0.8903620601733809
macro avg,0.8903119028897961,0.8881427091364789,0.8876104097881342,1961.0
weighted avg,0.8930735320882435,0.8903620601733809,0.8901225447916682,1961.0
